"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"1194";"butler county department of job and family services";2010-06-13;10600;"PHYS";"GOV";"Nonprofit organization";2010
"1196";"groupm";2010-02-27;1501;"PORT";"BSO";"Nonprofit organization";2010
"1199";"certegy check services inc fidelity national information services";2007-07-03;8500000;"INSD";"BSF";"Nonprofit organization";2007
"1200";"lexisnexis";2009-07-13;13329;NA;"BSO";"Nonprofit organization";2009
"1201";"dickinson school of law";2009-12-18;261;"HACK";"EDU";"Nonprofit organization";2009
"1202";"detroit s health department";2009-12-15;5000;"PORT";"GOV";"Nonprofit organization";2009
"1203";"eastern illinois university";2009-12-04;9000;"HACK";"EDU";NA;2009
"1204";"ohio department of job family services delphi automotive";2008-08-01;2600;"PORT";"BSO";"Nonprofit organization";2008
"1205";"agilent technologies";2008-03-22;51000;"PORT";"BSO";"Nonprofit organization";2008
"1207";"illinois dept of financial and professional regulation";2007-05-19;3e+05;"HACK";"GOV";"Nonprofit organization";2007
"1215";"eastern connecticut health network pension plan";2010-06-28;3178;"PHYS";"BSF";"Nonprofit organization";2010
"1216";"brooklyn tech high school";2010-06-29;2416;"HACK";"EDU";"Nonprofit organization";2010
"1220";"battleground urgent care prompt med";2009-08-21;623;"PHYS";"MED";"Nonprofit organization";2009
"1221";"amr corporation";2010-07-02;79000;"STAT";"BSO";"Nonprofit organization";2010
"1222";"amr corporation";2010-07-04;79000;"PORT";"BSO";"Nonprofit organization";2010
"1224";"university of florida";2010-07-06;2047;"PHYS";"EDU";"Nonprofit organization";2010
"1227";"federal deposit insurance corp fdic";2005-06-10;6000;NA;"GOV";"Nonprofit organization";2005
"1228";"ohio department of developmental disabilities";2010-07-10;200;"DISC";"MED";"Nonprofit organization";2010
"1229";"hancock fabrics";2009-11-23;140;"HACK";"BSR";"Nonprofit organization";2009
"1230";"mad capper saloon eatery";2010-04-09;200;"HACK";"BSR";"Nonprofit organization";2010
"1231";"athens regional health services";2007-10-02;1485;"STAT";"MED";"Nonprofit organization";2007
"1232";"mississippi secretary of state";2006-07-16;2000;"DISC";"GOV";"Nonprofit organization";2006
"1233";"payless shoe store";2010-06-11;11;"INSD";"BSR";"Nonprofit organization";2010
"1234";"compucredit";2009-05-19;120;"DISC";"BSF";"Nonprofit organization";2009
"1235";"st francis federal credit union";2010-06-18;8400;"PORT";"BSF";"Nonprofit organization";2010
"1236";"mellow mushroom";2010-05-15;2000;"HACK";"BSR";"Nonprofit organization";2010
"1237";"interior national business center";2010-05-28;7500;"PORT";"GOV";"Nonprofit organization";2010
"1238";"marco s restaurant";2010-06-05;500;"HACK";"BSR";"Nonprofit organization";2010
"1239";"lincoln financial group";2010-05-25;1286;"DISC";"BSF";"Nonprofit organization";2010
"1240";"beer and wine hobby";2010-03-13;35000;"HACK";"BSR";"Nonprofit organization";2010
"1241";"north country health services";2010-04-30;349;"HACK";"MED";"Nonprofit organization";2010
"1242";"perinton square post office";2010-01-14;20;"PHYS";"GOV";"Nonprofit organization";2010
"1243";"cincinnati children s hospital medical center";2010-05-28;61000;"PORT";"MED";"Nonprofit organization";2010
"1244";"discountdomainregistry com";2006-04-07;1000;"DISC";"BSO";"Nonprofit organization";2006
"1245";"small dog electronics";2010-03-03;3000;"HACK";"BSR";"Nonprofit organization";2010
"1246";"new york state dmv";2010-03-25;200;"INSD";"GOV";"Nonprofit organization";2010
"1247";"lawrence welk resort";2010-02-11;1427;"HACK";"BSR";"Nonprofit organization";2010
"1248";"galeton gloves inc";2010-02-12;89;"HACK";"BSR";"Nonprofit organization";2010
"1249";"alabama department of public health";2007-11-05;1554;"DISC";"GOV";"Nonprofit organization";2007
"1251";"fox news";2007-07-23;1500000;"DISC";"BSO";"Media";2007
"1252";"city of hattiesburg";2006-07-07;2000;"STAT";"GOV";"Nonprofit organization";2006
"1253";"city of grand prairie";2006-12-03;200;"DISC";"GOV";"Nonprofit organization";2006
"1254";"riverside high school";2006-12-14;2000;"DISC";"EDU";"Nonprofit organization";2006
"1255";"bay pines va medical center";2010-04-14;800;"PHYS";"GOV";"Nonprofit organization";2010
"1256";"sunbridge healthcare";2010-07-14;3830;"PORT";"MED";"Nonprofit organization";2010
"1257";"dentaquest";2010-07-06;76000;"DISC";"MED";"Nonprofit organization";2010
"1260";"massachusetts secretary of state securities division";2010-07-07;139000;"PORT";"GOV";"Nonprofit organization";2010
"1261";"hamilton county clerk of courts";2006-03-02;1300000;"DISC";"GOV";"Nonprofit organization";2006
"1262";"ibill disputed";2006-03-08;17781500;NA;"BSF";"Nonprofit organization";2006
"1263";"pima county health department";2006-09-21;2500;"PHYS";"GOV";"Nonprofit organization";2006
"1265";"prince william county intellectual disabilities case management";2010-07-15;669;"PORT";"GOV";"Nonprofit organization";2010
"1266";"spring independent school district spring tx";2008-05-16;8000;"PORT";"EDU";"Nonprofit organization";2008
"1269";"blue island radiology";2010-07-14;2000;"PORT";"MED";"Nonprofit organization";2010
"1270";"the dental network";2008-03-19;74256;"DISC";"MED";"Nonprofit organization";2008
"1271";"university of pittsburgh student health services";2010-07-14;8000;"INSD";"EDU";"Nonprofit organization";2010
"1272";"tomah memorial hospital";2010-07-14;600;"INSD";"MED";"Nonprofit organization";2010
"1275";"buena vista university";2010-07-16;93000;"HACK";"EDU";"Nonprofit organization";2010
"1276";"nyu langone medical center hospital for joint diseases";2010-07-01;2563;"PORT";"MED";"Nonprofit organization";2010
"1277";"long island consultation center licc";2010-07-20;800;"PORT";"MED";"Nonprofit organization";2010
"1278";"aurora st luke s medical center";2009-11-25;6400;"PORT";"MED";"Nonprofit organization";2009
"1280";"iowa department of agriculture and land stewardship";2010-07-22;3404;"PORT";"GOV";"Nonprofit organization";2010
"1281";"colorado department of health care policy and financing";2010-07-22;105470;"PORT";"GOV";"Nonprofit organization";2010
"1282";"university of texas arlington";2010-07-24;27000;"HACK";"EDU";"Nonprofit organization";2010
"1284";"utah department of workforce services";2010-07-15;1300;"INSD";"GOV";"Nonprofit organization";2010
"1285";"connecticut department of labor";2010-07-16;5000;"PORT";"GOV";"Nonprofit organization";2010
"1286";"ign entertainment";2008-06-26;119;"STAT";"BSR";"Nonprofit organization";2008
"1290";"first advantage tax consulting services tcs";2010-07-30;32842;"PORT";"BSF";"Nonprofit organization";2010
"1291";"the center for neurosciences";2010-07-31;1101;"PORT";"MED";"Nonprofit organization";2010
"1292";"montefiore medical center";2010-03-23;625;"PORT";"MED";"Nonprofit organization";2010
"1294";"montefiore medical center";2010-07-31;39000;"STAT";"MED";"Nonprofit organization";2010
"1296";"rockland town government";2010-08-04;200;"PHYS";"GOV";"Nonprofit organization";2010
"1297";"metro assessor of property";2010-08-03;68;"DISC";"GOV";"Nonprofit organization";2010
"1298";"connecticut department of education state teachers retirement board";2010-07-12;58000;"PORT";"GOV";"Nonprofit organization";2010
"1299";"college center for library automation ccla";2010-08-10;126000;"DISC";"GOV";"Nonprofit organization";2010
"1300";"university of north carolina at greensboro";2010-08-09;2300;"HACK";"EDU";"Nonprofit organization";2010
"1305";"loma linda university school of dentistry";2010-08-12;10100;"STAT";"EDU";"Nonprofit organization";2010
"1306";"doherty hotel and convention center";2010-08-13;150;"HACK";"BSR";"Nonprofit organization";2010
"1308";"metro nashville";2010-08-13;500;"PORT";"GOV";"Media";2010
"1309";"nashville career advancement center";2010-08-13;160;"DISC";"GOV";"Media";2010
"1310";"aultman health foundation";2010-08-16;13800;"PORT";"MED";"Nonprofit organization";2010
"1314";"beecher carlson";2010-03-13;5432;"PORT";"BSO";"Nonprofit organization";2010
"1315";"equifax";2010-02-11;35;"DISC";"BSF";"Nonprofit organization";2010
"1320";"ross";2010-08-05;200;"PHYS";"BSR";"US GA: State";2010
"1323";"georgia southern university";2005-04-28;20000;"HACK";"EDU";"Nonprofit organization";2005
"1325";"thrivent financial for lutherans";2010-03-10;9386;"PORT";"BSF";"Nonprofit organization";2010
"1329";"cleveland state university";2005-05-27;44420;"PORT";"EDU";"Nonprofit organization";2005
"1330";"penn state";2010-06-03;40806;"DISC";"EDU";"Nonprofit organization";2010
"1335";"gap inc";2007-09-28;8e+05;"PORT";"BSR";"Nonprofit organization";2007
"1336";"university of utah hospitals and clinics";2008-06-10;2200000;"PORT";"MED";"Nonprofit organization";2008
"1338";"marsh and mercer";2010-07-12;378000;"PORT";"BSF";"Nonprofit organization";2010
"1339";"jones lang lasalle";2010-08-09;20;"PORT";"BSF";"Nonprofit organization";2010
"1340";"nationwide bank";2010-08-10;62;"PHYS";"BSF";"Nonprofit organization";2010
"1341";"hsbc bank nevada";2010-08-09;14;NA;"BSF";"Nonprofit organization";2010
"1342";"durham county government";2010-06-10;8700;"PHYS";"GOV";"Nonprofit organization";2010
"1343";"rowland equipment co";2010-07-29;30;"INSD";"BSR";"Nonprofit organization";2010
"1344";"thomas jefferson university hospitals";2010-07-23;21000;"PORT";"EDU";"Nonprofit organization";2010
"1345";"university of connecticut west hartford";2010-08-19;10174;"PORT";"EDU";"Nonprofit organization";2010
"1346";"proassurance mid continent underwriters";2010-08-11;121;"DISC";"BSF";"Nonprofit organization";2010
"1347";"yale school of medicine";2010-08-19;1000;"PORT";"MED";"Nonprofit organization";2010
"1348";"wendy s";2010-07-28;135;"INSD";"BSR";"Nonprofit organization";2010
"1349";"blue cross blue shield of alabama";2010-08-05;15;"INSD";"MED";"Nonprofit organization";2010
"1350";"aetna";2010-05-28;6372;"PHYS";"BSO";"Nonprofit organization";2010
"1351";"maryland department of human resources";2010-07-20;3000;"INSD";"GOV";"Nonprofit organization";2010
"1352";"hingham city government";2010-08-04;1300;"DISC";"GOV";"Nonprofit organization";2010
"1353";"jewish hospital catheterization lab";2010-08-10;2089;"PORT";"MED";"Nonprofit organization";2010
"1354";"university of kentucky newborn screening program";2010-08-20;2027;"PORT";"EDU";"Nonprofit organization";2010
"1355";"cook county health and hospital systems cchhs";2010-08-20;7000;"PORT";"GOV";"Nonprofit organization";2010
"1356";"fort worth allergy and asthma associates";2010-08-07;25000;"STAT";"MED";"Nonprofit organization";2010
"1357";"oregon state university";2010-07-14;34000;"HACK";"EDU";"Nonprofit organization";2010
"1358";"the loft and comedy club";2010-07-22;60;"DISC";"BSR";"Nonprofit organization";2010
"1359";"ocean lakes high school";2010-06-17;11388;"HACK";"EDU";"Nonprofit organization";2010
"1360";"nursing visioned medical services";2010-06-07;2000;"PHYS";"MED";"Nonprofit organization";2010
"1361";"h r block";2010-04-08;20;"INSD";"BSF";"Nonprofit organization";2010
"1362";"citigroup inc";2010-07-27;117600;"DISC";"BSR";"Media";2010
"1363";"tufts university";2010-05-21;2000;"HACK";"EDU";"Nonprofit organization";2010
"1364";"beecher carlson holdings inc";2010-03-12;1012;"PORT";"BSF";"Nonprofit organization";2010
"1365";"brookings institution";2010-08-09;143;"PORT";"NGO";"Nonprofit organization";2010
"1366";"debtstoppers usa robert j semrad and associates";2010-07-29;100;"PHYS";"BSF";"Nonprofit organization";2010
"1367";"carle clinic association";2010-07-14;1300;"PHYS";"MED";"Nonprofit organization";2010
"1368";"tenncare new mexico human services department";2010-06-09;21000;"PORT";"MED";"Nonprofit organization";2010
"1369";"blue cross blue shield association";2010-07-14;15000;"PHYS";"MED";"Nonprofit organization";2010
"1370";"university of nevada";2010-06-18;7526;"STAT";"EDU";"Nonprofit organization";2010
"1371";"ambrosia asian bistro";2010-08-11;50;"INSD";"BSR";"Nonprofit organization";2010
"1372";"lpl financial";2010-08-11;38;"DISC";"BSF";"Nonprofit organization";2010
"1373";"lincoln medical and mental health center";2010-06-30;130495;"PORT";"MED";"Nonprofit organization";2010
"1374";"brew haha";2010-06-01;30;"HACK";"BSR";"Nonprofit organization";2010
"1376";"blue cross and blue shield of rhode island bcbsri";2010-04-16;12000;"PHYS";"MED";"Nonprofit organization";2010
"1377";"gap inc";2010-04-16;18;"INSD";"BSR";"Nonprofit organization";2010
"1378";"building media inc bmi";2010-04-16;81;"HACK";"BSR";"Nonprofit organization";2010
"1380";"health net";2010-04-16;18;NA;"BSF";"Nonprofit organization";2010
"1381";"st mary and elizabeth hospital women s center";2010-04-21;77;"STAT";"MED";"Nonprofit organization";2010
"1382";"south carolina department of health and environmental control";2010-04-26;1824;"PHYS";"GOV";"US GA: State";2010
"1383";"edward waters college";2010-05-17;210;"DISC";"EDU";"Nonprofit organization";2010
"1384";"lake ridge middle school";2010-05-24;1200;"PORT";"EDU";"Nonprofit organization";2010
"1385";"strong memorial hospital";2010-05-20;1250;"DISC";"MED";"Nonprofit organization";2010
"1386";"sparta board of education";2010-06-29;200;"DISC";"GOV";"Nonprofit organization";2010
"1387";"cal state san bernardino cssb";2010-06-29;36;"DISC";"EDU";"Nonprofit organization";2010
"1388";"destination hotels resorts";2010-06-29;700;"HACK";"BSO";"Nonprofit organization";2010
"1389";"cornerstone";2010-07-02;1537;"PHYS";"NGO";"Nonprofit organization";2010
"1390";"massachusetts secretary of state office";2010-07-06;139000;"PHYS";"GOV";"Nonprofit organization";2010
"1391";"vhs genesis lab";2010-07-14;500;"PHYS";"MED";"Nonprofit organization";2010
"1392";"nix check cashing";2010-07-15;100;"STAT";"BSF";"Nonprofit organization";2010
"1395";"p k yonge";2010-08-31;8300;"PORT";"EDU";"Nonprofit organization";2010
"1401";"cleveland air route traffic control center";2006-10-06;400;"STAT";"GOV";"Nonprofit organization";2006
"1402";"university of montana western";2007-03-30;400;"PORT";"EDU";"Nonprofit organization";2007
"1403";"td ameritrade";2006-12-01;300;"PORT";"BSF";"Nonprofit organization";2006
"1404";"belhaven college";2006-07-25;300;"PORT";"EDU";"Nonprofit organization";2006
"1405";"mercy medical center";2006-09-15;295;"PORT";"MED";"Nonprofit organization";2006
"1406";"montana state university";2006-12-27;259;"DISC";"EDU";"Nonprofit organization";2006
"1407";"suntrust bank";2010-02-22;200;"CARD";"BSF";"Nonprofit organization";2010
"1408";"university of texas southwestern medical center";2010-03-05;200;"INSD";"GOV";"Nonprofit organization";2010
"1409";"lancaster general hospital";2006-06-21;200;"STAT";"EDU";"US GA: State";2006
"1410";"california army national guard";2006-01-21;200;"PHYS";"GOV";"Nonprofit organization";2006
"1414";"indianapolis public schools";2007-05-18;7500;"DISC";"EDU";"Nonprofit organization";2007
"1424";"indiana department of transportation indot";2007-01-26;4000;"DISC";"GOV";"Nonprofit organization";2007
"1425";"michigan department of community health";2006-09-16;4000;"PORT";"GOV";"Nonprofit organization";2006
"1426";"baltimore county department of health";2007-04-24;6000;"PORT";"GOV";"Nonprofit organization";2007
"1427";"new hampshire department of health and human services";2008-12-17;9300;"DISC";"GOV";"Nonprofit organization";2008
"1428";"pennsylvania department of transportation penndot";2006-11-30;11384;"STAT";"GOV";"Nonprofit organization";2006
"1429";"north carolina department of transportation";2007-05-25;25000;NA;"GOV";"Nonprofit organization";2007
"1430";"berks county sheriff s office via contractor canon technology solutions";2006-09-08;25000;"DISC";"GOV";"Nonprofit organization";2006
"1431";"armed forces recruiting center";2010-08-31;8;"PHYS";"GOV";"Media";2010
"1432";"national technical institute for the deaf and rochester institute of technology";2008-08-30;13800;"PORT";"EDU";"Nonprofit organization";2008
"1433";"colorado department of human services via affiliated computer services acs";2006-11-02;1400000;"STAT";"GOV";"Nonprofit organization";2006
"1434";"city of riverside california";2006-07-28;2000;"DISC";"GOV";"Nonprofit organization";2006
"1435";"u s dept of education direct loan servicing";2006-09-17;21000;"DISC";"GOV";"Nonprofit organization";2006
"1436";"california department of mental health";2006-08-18;9468;"PORT";"GOV";"Nonprofit organization";2006
"1437";"texas children s hospital and baylor college of medicine";2010-07-30;694;"PORT";"NGO";"Nonprofit organization";2010
"1438";"eastmoreland surgical clinic and vein center";2010-08-24;4328;"STAT";"MED";"Nonprofit organization";2010
"1439";"chattanooga family practice associates";2010-09-02;1711;"PORT";"MED";"Nonprofit organization";2010
"1441";"kinetic concepts inc kci";2010-09-02;4000;"DISC";"BSR";"Nonprofit organization";2010
"1442";"arkansas state university";2010-09-02;2484;"DISC";"EDU";"Nonprofit organization";2010
"1446";"city of chicago via contractor nationwide retirement solutions inc";2006-09-01;38443;"PORT";"GOV";"Nonprofit organization";2006
"1448";"beauty dental inc";2010-08-18;657;"PHYS";"MED";"Nonprofit organization";2010
"1449";"humana inc matrix imaging";2010-08-18;2631;"PHYS";"BSF";"Nonprofit organization";2010
"1450";"loma linda university medical center";2010-05-25;584;"STAT";"MED";"Nonprofit organization";2010
"1452";"city university of new york";2007-11-01;20000;"PORT";"EDU";"Nonprofit organization";2007
"1453";"iowa state racing and gaming commission";2010-01-31;80000;"HACK";"GOV";"Nonprofit organization";2010
"1454";"california department of health care services";2010-09-09;5000;"DISC";"GOV";"Nonprofit organization";2010
"1456";"mayo clinic";2010-09-09;1700;"INSD";"MED";"Nonprofit organization";2010
"1457";"hei hospitality hei hotels and resorts";2010-09-08;3400;"HACK";"BSR";"Nonprofit organization";2010
"1458";"walsh pharmacy";2010-08-12;11440;"PORT";"MED";"Nonprofit organization";2010
"1459";"saint barnabas health care systems and newark beth israel medical center";2010-09-13;4586;"PORT";"MED";"Nonprofit organization";2010
"1460";"city university of new york";2010-09-07;7000;"PORT";"EDU";"Nonprofit organization";2010
"1461";"sunbridge healthcare corporation";2010-09-13;1000;"PORT";"MED";"Nonprofit organization";2010
"1462";"new york university school of medicine aging and dementia clinical research center";2010-09-13;1200;"PORT";"MED";"Nonprofit organization";2010
"1465";"rice university";2010-09-14;7250;"PORT";"EDU";"Nonprofit organization";2010
"1468";"martin luther king jr multi service ambulatory care center";2010-09-16;33000;"INSD";"GOV";"Nonprofit organization";2010
"1470";"ault chiropractic center";2010-09-22;2000;"STAT";"MED";"Nonprofit organization";2010
"1472";"st vincent hospital saint vincent";2010-09-25;1200;"PORT";"MED";"Nonprofit organization";2010
"1473";"the kent center";2010-09-21;1361;"PHYS";"MED";"Nonprofit organization";2010
"1474";"columbia university";2008-06-12;5000;"DISC";"EDU";"Nonprofit organization";2008
"1476";"us army";2008-12-02;6000;"PORT";"GOV";"Nonprofit organization";2008
"1478";"pediatric and adult allergy pc";2010-09-21;19222;"PORT";"MED";"Nonprofit organization";2010
"1479";"humana";2010-09-06;4;"INSD";"MED";"Nonprofit organization";2010
"1480";"university of rochester medical center urmc";2010-09-03;837;"PORT";"MED";"Nonprofit organization";2010
"1481";"wright state physicians";2010-08-18;1309;"PORT";"MED";"Nonprofit organization";2010
"1482";"dc chartered health plan";2010-08-10;540;"PORT";"MED";"Nonprofit organization";2010
"1483";"united healthgroup";2010-08-06;735;"PHYS";"MED";"Nonprofit organization";2010
"1484";"united healthgroup";2010-08-06;16291;"PHYS";"MED";"Nonprofit organization";2010
"1485";"johns hopkins medicine";2009-11-20;100;"INSD";"MED";"Nonprofit organization";2009
"1486";"johns hopkins hospital";2009-05-12;10200;"INSD";"MED";"Media";2009
"1487";"morgan keegan company";2010-09-29;18500;"PORT";"BSF";"Media";2010
"1488";"university of florida";2010-09-29;239;"DISC";"EDU";"Nonprofit organization";2010
"1489";"romeus cuban restaurant";2010-10-02;24;"CARD";"BSR";"Nonprofit organization";2010
"1494";"wilderness ridge hidden valley golf";2010-09-24;225;"HACK";"BSR";"Nonprofit organization";2010
"1497";"akel business services also silva bookkeeping and tax services";2010-03-04;32;"INSD";"BSF";"Nonprofit organization";2010
"1499";"choicepoint";2009-10-20;14023;"DISC";"BSO";"Nonprofit organization";2009
"1500";"hana japanese sushi bar and grill";2010-09-22;30;"HACK";"BSR";"Nonprofit organization";2010
"1501";"julie s place";2010-09-20;100;"HACK";"BSR";"Nonprofit organization";2010
"1508";"aon consulting";2010-08-30;22000;"DISC";"BSF";"Nonprofit organization";2010
"1509";"corona norco unified school district";2010-09-11;82;"DISC";"EDU";"Nonprofit organization";2010
"1510";"mississippi national guard";2010-10-08;2672;"DISC";"GOV";"Nonprofit organization";2010
"1514";"wright patterson air force base";2010-10-11;2123;"PHYS";"GOV";"Nonprofit organization";2010
"1516";"university of oklahoma tulsa neurology clinic neurology services of oklahoma llc";2010-10-11;19264;"HACK";"MED";"Nonprofit organization";2010
"1517";"alaskan aids assistance association four a s";2010-09-23;2000;"PORT";"NGO";"Nonprofit organization";2010
"1518";"alliance healthcare services inc";2010-10-11;1474;"PORT";"MED";"Nonprofit organization";2010
"1519";"st james hospital and health centers";2010-10-11;967;"PHYS";"MED";"Nonprofit organization";2010
"1520";"private medical practice";2010-10-11;1200;"PORT";"MED";"Nonprofit organization";2010
"1521";"private counseling and psychotherapy practice";2010-10-11;9000;"STAT";"MED";"Nonprofit organization";2010
"1522";"private medical practice";2010-10-11;928;"STAT";"MED";"Nonprofit organization";2010
"1523";"private legal practice";2010-09-22;25;"PORT";"BSO";"Nonprofit organization";2010
"1524";"private medical practice";2010-09-21;2739;"PORT";"MED";"Nonprofit organization";2010
"1526";"private legal practice";2010-07-27;75;"PHYS";"BSO";"Nonprofit organization";2010
"1528";"private medical practice";2010-06-06;600;"PHYS";"MED";"Nonprofit organization";2010
"1530";"boulder community hospital family medical associates";2010-03-30;14;"PHYS";"MED";"Nonprofit organization";2010
"1534";"st john s mercy medical group";2010-06-09;1907;"DISC";"MED";"US GA: State";2010
"1535";"mount st mary s hospital";2006-02-17;17000;"PORT";"MED";"Nonprofit organization";2006
"1536";"patuxent river naval air station";2010-10-13;17;"INSD";"BSF";"Nonprofit organization";2010
"1538";"officemax";2006-02-09;2e+05;"HACK";"BSR";"Nonprofit organization";2006
"1544";"university of south carolina";2006-04-14;1400;"DISC";"EDU";"Nonprofit organization";2006
"1546";"university of california davis ucd medical center";2010-10-16;900;"PHYS";"MED";"Nonprofit organization";2010
"1547";"new mexico tech community college";2010-10-17;3000;"DISC";"EDU";"Nonprofit organization";2010
"1548";"university of north florida";2010-10-15;52853;"HACK";"EDU";"Nonprofit organization";2010
"1552";"milwaukee county";2010-10-18;30;"INSD";"GOV";"Nonprofit organization";2010
"1553";"lake county residents and major league baseball players";2006-12-20;117;"PHYS";"BSO";"Nonprofit organization";2006
"1554";"big foot high school";2006-12-20;87;"DISC";"EDU";"Nonprofit organization";2006
"1555";"accomack county virginia residents";2010-10-14;35000;"PORT";"GOV";"Nonprofit organization";2010
"1557";"cumberland gastroenterology p s c";2010-10-19;2207;"PHYS";"MED";"Nonprofit organization";2010
"1558";"lonestar audiology group";2010-10-21;585;"PORT";"MED";"Nonprofit organization";2010
"1560";"california men s colony cmc";2010-10-21;8;"PHYS";"GOV";"Nonprofit organization";2010
"1561";"westmed medical group";2010-10-19;578;"PORT";"MED";"Nonprofit organization";2010
"1562";"university of california irvine";2008-04-04;7000;NA;"EDU";"Nonprofit organization";2008
"1564";"jackson memorial hospital";2009-07-31;3360;"INSD";"MED";"Media";2009
"1565";"mount sinai school of medicine";2010-10-27;1500;"STAT";"MED";"Nonprofit organization";2010
"1567";"u s department of transportation";2006-08-09;132470;"PORT";"GOV";"Nonprofit organization";2006
"1568";"minor family clinic";2010-10-28;128;NA;"MED";"Nonprofit organization";2010
"1569";"emergency medical services bureau";2010-10-28;56000;"HACK";"GOV";"Nonprofit organization";2010
"1571";"university of connecticut storrs";2010-10-28;23;"DISC";"EDU";"Nonprofit organization";2010
"1572";"southwest seattle orthopaedic and sports medicine";2010-10-29;9493;"HACK";"MED";"Nonprofit organization";2010
"1576";"kapiolani community college";2009-05-04;15487;"HACK";"EDU";"Nonprofit organization";2009
"1577";"duke university medical center";2005-06-04;14000;"HACK";"EDU";"Nonprofit organization";2005
"1578";"robins airforce base";2010-10-31;50;"HACK";"GOV";"Nonprofit organization";2010
"1579";"seton hall university";2010-11-02;1500;"DISC";"EDU";"Nonprofit organization";2010
"1581";"systematic automation inc";2008-02-15;40000;"STAT";"BSO";"Nonprofit organization";2008
"1583";"modesto city schools";2008-02-12;3500;"PORT";"EDU";"Nonprofit organization";2008
"1584";"mecklenburg county";2008-02-25;400;"PHYS";"GOV";"Nonprofit organization";2008
"1585";"american federation of television and radio artists aftra";2010-11-04;2811;"HACK";"BSO";"Nonprofit organization";2010
"1587";"university of northern colorado";2005-01-22;15790;"PORT";"EDU";"Nonprofit organization";2005
"1588";"science applications international corp saic";2005-02-12;45000;"STAT";"BSO";"Nonprofit organization";2005
"1590";"tufts university";2005-04-11;106000;"HACK";"EDU";"Nonprofit organization";2005
"1591";"department of justice";2005-05-07;80000;"PORT";"GOV";"Nonprofit organization";2005
"1592";"university of hawai i";2010-07-07;53000;"STAT";"EDU";"Nonprofit organization";2010
"1593";"university of hawai i";2005-06-18;150000;"INSD";"EDU";"Nonprofit organization";2005
"1595";"eastman kodak";2005-06-22;5800;"PORT";"BSO";"Nonprofit organization";2005
"1597";"time warner iron mountain inc";2005-05-02;6e+05;"PORT";"BSO";"Nonprofit organization";2005
"1598";"fedex";2006-02-04;1100;"DISC";"BSO";"Nonprofit organization";2006
"1599";"arizona biodyne";2005-07-13;57000;"PORT";"MED";"Nonprofit organization";2005
"1600";"iowa state university";2005-12-12;5500;"HACK";"EDU";"Nonprofit organization";2005
"1601";"anderson college";2005-08-04;800;"PHYS";"EDU";"Nonprofit organization";2005
"1602";"madison area technical college";2005-08-05;100;"PHYS";"EDU";"Nonprofit organization";2005
"1603";"stark state college of technology";2005-08-30;7058;"DISC";"EDU";"Nonprofit organization";2005
"1605";"iowa student loan";2005-09-02;165000;"PORT";"BSF";"Nonprofit organization";2005
"1606";"aon consulting";2008-06-19;57160;"PORT";"BSF";"Nonprofit organization";2008
"1607";"fort carson";2005-09-13;9300;"PORT";"GOV";"Nonprofit organization";2005
"1608";"internal revenue service irs";2005-09-22;30000;"PHYS";"GOV";"Nonprofit organization";2005
"1609";"university of georgia";2005-09-29;1600;"HACK";"EDU";"Nonprofit organization";2005
"1611";"monmouth university";2005-10-20;677;"DISC";"EDU";"Nonprofit organization";2005
"1613";"university of tennessee";2006-07-07;36000;"HACK";"EDU";"Nonprofit organization";2006
"1615";"general services administration";2010-11-06;12000;"INSD";"GOV";"Nonprofit organization";2010
"1617";"indiana university kelley school of business";2005-11-18;5278;"HACK";"EDU";"Nonprofit organization";2005
"1618";"university of tennessee";2005-10-29;1900;"DISC";"EDU";"Nonprofit organization";2005
"1619";"university of delaware";2005-11-23;952;"HACK";"EDU";"Nonprofit organization";2005
"1620";"rbc dain rauscher";2005-09-28;3e+05;"INSD";"BSF";"Nonprofit organization";2005
"1621";"san antonio independent school district";2005-12-08;1000;"PORT";"EDU";"Nonprofit organization";2005
"1622";"j sargeant reynolds community college";2005-12-08;26000;"DISC";"EDU";"Nonprofit organization";2005
"1623";"federal reserve bank of dallas";2005-12-08;8000;"PHYS";"GOV";"Nonprofit organization";2005
"1624";"marriott international inc";2005-12-28;206000;"PORT";"BSR";"Nonprofit organization";2005
"1626";"oregon community credit union";2005-12-09;200;"PHYS";"BSF";"Nonprofit organization";2005
"1627";"richmond public schools";2010-11-07;110;"DISC";"EDU";"Nonprofit organization";2010
"1630";"college of st scholastica";2006-01-26;12000;"STAT";"EDU";"Nonprofit organization";2006
"1631";"ameriprise financial inc";2005-12-25;226000;"PORT";"BSF";"Nonprofit organization";2005
"1632";"university of delaware";2006-01-25;159;"STAT";"EDU";"Nonprofit organization";2006
"1634";"university of kansas kansas university";2006-01-20;9200;"DISC";"EDU";"Nonprofit organization";2006
"1635";"new york city teachers retirement system";2006-01-16;5800;"INSD";"GOV";"Nonprofit organization";2006
"1636";"university of pittsburgh medical center";2007-05-22;6000;"DISC";"MED";"Nonprofit organization";2007
"1638";"boston globe the new york times company and the worcester telegram gazette";2006-01-31;240000;"DISC";"BSO";"Nonprofit organization";2006
"1639";"university of colorado colorado springs uccs";2006-02-01;2500;"HACK";"EDU";"Nonprofit organization";2006
